year,release_date,track,artists,id
2009,2009-08-21,Monster,['Skillet'],2UREu1Y8CO4jXkbvqAtP7g
2009,2009-09-08,Empire State Of Mind,"['JAY-Z', 'Alicia Keys']",2igwFfvr1OAGX9SKDCPBwO
2009,2009,Best I Ever Had,['Drake'],3QLjDkgLh9AOEHlhQtDuhs
2009,2009-09-28,All I Wanted,['Paramore'],1Bv3h7Vc4AaYA2BcSM3rVd
2009,2009,Dog Days Are Over,['Florence + The Machine'],1YLJVmuzeM2YSUkCCaTNUB
2009,2009-10-02,Little Lion Man,['Mumford & Sons'],6JnufVNLIO5F5Lk4sEVLeI
2009,2009-09-08,Neon Moon,['Brooks & Dunn'],3EUl8M6SzxZl03NPkB8mUd
2009,2009-01-01,BedRock,"['Young Money', 'Lloyd']",3iL2l5gUqyPS6vDwJFgJTR
2009,2009-07-14,Home,['Edward Sharpe & The Magnetic Zeros'],7w5cxTEzp1rfV3KCy0Bd5N
2009,2009-09-22,Bad Company,['Five Finger Death Punch'],7uIF6RDrW2PwvvYEMkanr8
2009,2009-01-01,I Will Not Bow,['Breaking Benjamin'],2yXyz4NLTZx9CLdXfLTp5E
2009,2009-01-01,Secrets,['OneRepublic'],1NhPKVLsHhFUHIOZ32QnS2
2009,2009-02-02,You Found Me,['The Fray'],4IoYz8XqqdowINzfRrFnhi
2009,2009-04-07,She's Country,['Jason Aldean'],0PspNrE4MSjr1JeB4OW0jn
2009,2009-09-08,Boot Scootin' Boogie,['Brooks & Dunn'],7Fq9RwQxSn3kW85PrDUf0M
2009,2009-01-01,The Climb,['Miley Cyrus'],0V8FYVlBFuXXTIvRnMbZyS
2009,2009-07-07,Home - 2019 - Remaster,['Edward Sharpe & The Magnetic Zeros'],7KWGfnsUU4Ri46TIvjpAPx
2009,2009-04-07,Big Green Tractor,['Jason Aldean'],4KAzYqfcijCSZa2P3etHoM
2009,2009-10-02,The Cave,['Mumford & Sons'],7IxVWmdabNVhfLBV3JD0nJ
2009,2009-05-15,21 Guns,['Green Day'],64yrDBpcdwEdNY9loyEGbX
2009,2009-08-21,Hero,['Skillet'],4CbKVDZkYKdv69I4bCaKUq
2009,2009-09-11,Smile,['Uncle Kracker'],4ZC8hXXqu2hPcDLw9QTdtQ
2009,2009-09-08,My Maria,['Brooks & Dunn'],09qzRI951OVkXGCc33gzcT
2009,2009-09-15,Soundtrack 2 My Life,['Kid Cudi'],1cdC9TCqyLwAlsw3fVJaJS
2009,2009-09-07,Fire Burning,['Sean Kingston'],2oENJa1T33GJ0w8dC167G4
2009,2009-01-01,Birthday Sex,['Jeremih'],4NpDZPwSXmL0cCTaJuVrCw
2009,2009-05-25,1901,['Phoenix'],3FM33HqRlV7J1QJoPOnd2u
2009,2009-09-08,Run This Town,"['JAY-Z', 'Rihanna', 'Kanye West']",7LR85XLWw2yXqKBSI5brbG
2009,2009-01-01,Bulletproof,['La Roux'],6lUY6MoqGgPnA27PHYxem5
2009,2009,If It Means a Lot to You,['A Day To Remember'],6J7cSyvSCnPwv3vqHchEfL
2009,2009-01-01,Obsessed,['Mariah Carey'],3IcIIZMMS7UArJJPtEHXG8
2009,2009-08-21,Memories (feat. Kid Cudi),"['David Guetta', 'Kid Cudi']",4dTaAiV9xFFCxnPur9c9yL
2009,2009-01-01,Steady Mobbin,"['Young Money', 'Gucci Mane']",3cSuhzV7wKX5diQ8hos78P
2009,2009-01-01,Good Life,['OneRepublic'],6OtCIsQZ64Vs1EbzztvAv4
2009,2009-12-15,Cooler Than Me,"['Mike Posner', 'Big Sean']",2DPYlWl50ydYsnnuryL5aX
2009,2009-09-28,The Only Exception,['Paramore'],7JIuqL4ZqkpfGKQhYlrirs
2009,2009-08-05,Telephone,"['Lady Gaga', 'Beyoncé']",7rl7ao5pb9BhvAzPdWStxi
2009,2009,The Downfall of Us All,['A Day To Remember'],6G7URf5rGe6MvNoiTtNEP7
2009,2009-01-01,Forever,"['Drake', 'Kanye West', 'Lil Wayne', 'Eminem']",6HSqyfGnsHYw9MmIpa9zlZ
2009,2009-01-01,Knock You Down,"['Keri Hilson', 'Kanye West', 'Ne-Yo']",58FUwmyGUqkt53YPUcm7cJ
2009,2009-10-06,Haven't Met You Yet,['Michael Bublé'],4fIWvT19w9PR0VVBuPYpWA
2009,2009-09-10,Uprising,['Muse'],4VqPOruhp5EdPBeR92t6lQ
2009,2009-03-24,Sweet Disposition,['The Temper Trap'],5RoIXwyTCdyUjpMMkk4uPd
2009,2009-09-24,The House That Built Me,['Miranda Lambert'],02eD9ymfJOJOhM97HYp5R9
2009,2009-05-24,Two Weeks,['Grizzly Bear'],0iTpQYzJnYgh7kIxyq8A2O
2009,2009-03-26,Total Eclipse of the Heart,['Bonnie Tyler'],7wuJGgpTNzbUyn26IOY6rj
2009,2009-08-18,Intro,['The xx'],0DAsxISzun85PbsqAfIzeC
2009,2009-06-09,Dile al Amor,['Aventura'],2Bhmj4XK33InfhqKPxcJ1v
2009,2009-03-30,Right Round,['Flo Rida'],3GpbwCm3YxiWDvy29Uo3vP
2009,2009-01-20,Daylight,['Matt and Kim'],57i3M29DWoo7RDk0Tf0LZG
2009,2009-09-22,Like or Like Like,['Miniature Tigers'],2laAFvo3q3GIcXX7Ql8OeD
2009,2009-01-01,Stuck In The Middle With You,['Stealers Wheel'],1b7LMtXCXGc2EwOIplI35z
2009,2009,She Wolf,['Shakira'],4cS2HQ6jK80vqdY9ofpztx
2009,2009,Sleepyhead,['Passion Pit'],4prEPl61C8qZpeo3IkYSMl
2009,2009-08-21,Sexy Bitch (feat. Akon),"['David Guetta', 'Akon']",0uXO2GrNiIb1xHT9LUdxZE
