billboard,billboard_year,billboard_date,peak_position,weeks_on_chart,artist,feat_artist,artist_uri,artist_popularity,artist_followers,artist_genre,song,track_uri,track_popularity,album_name,release_date,release_year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,2021,11/27/2021,68,1,Silk Sonic,"Thundercat, Bootsy Collins",0du5cEVh5yTK9QJze8zA0C,86,41005457,"dance pop, pop",After Last Night,3jiKUMXqwEodB7gVv1RMZU,68,An Evening With Silk Sonic,11/11/2021,2021,249444,0.651,0.703,0,-8.958,0,0.0816,0.0297,0,0.0608,0.647,140.051,4
1,2021,11/27/2021,73,1,Silk Sonic,-,0du5cEVh5yTK9QJze8zA0C,86,41005457,"dance pop, pop",Blast Off,2NqyjfDXy0XfXCSPXMsKzi,56,An Evening With Silk Sonic,11/12/2021,2021,284870,0.482,0.548,11,-9.946,1,0.0373,0.0363,2.28E-06,0.3,0.346,76.017,4
1,2021,11/27/2021,81,1,Silk Sonic,-,0du5cEVh5yTK9QJze8zA0C,86,41005457,"dance pop, pop",Fly As Me,3a6FcTyvSf0ED3VXeH3PJ5,67,An Evening With Silk Sonic,11/11/2021,2021,219389,0.783,0.627,2,-8.521,1,0.102,0.00756,0,0.0606,0.48,100.025,4
1,2022,1/15/2022,1,39,Silk Sonic,-,0du5cEVh5yTK9QJze8zA0C,86,41005457,"dance pop, pop",Leave The Door Open,7MAibcTli4IisCtbHKrGMh,51,Leave The Door Open,3/5/2021,2021,242096,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4
1,2021,11/27/2021,78,1,Silk Sonic,-,0du5cEVh5yTK9QJze8zA0C,86,41005457,"dance pop, pop",Put On A Smile,5f7UJCMrA1VRLvbPrq1h0G,64,An Evening With Silk Sonic,11/11/2021,2021,255455,0.548,0.627,9,-8.949,1,0.0409,0.0471,0,0.285,0.493,143.994,4
1,2021,10/2/2021,14,9,Silk Sonic,-,0du5cEVh5yTK9QJze8zA0C,86,41005457,"dance pop, pop",Skate,7jvCeWOSnJs2N3spqobWnO,75,An Evening With Silk Sonic,11/11/2021,2021,203122,0.708,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.698,112.027,4
1,2022,1/1/2022,5,20,Silk Sonic,-,0du5cEVh5yTK9QJze8zA0C,86,41005457,"dance pop, pop",Smokin Out The Window,3xVZYkcuWalGudeKl861wb,80,An Evening With Silk Sonic,11/11/2021,2021,197442,0.627,0.618,2,-8.529,1,0.0437,0.0558,0,0.351,0.848,82.03,4
0,-,-,-,-,Silverstein,-,1Tsag5J854qxeOo2apszug,59,609801,"['canadian post-hardcore', 'canadian rock', 'metalcore', 'pop punk', 'post-hardcore', 'screamo']",Infinite,1aWpVsNjEiqpFvV3KhJiWu,49,Infinite,1/8/2020,2020,163720,0.441,0.868,11,-5.516,0,0.0714,0.000121,2.72E-06,0.145,0.366,162,4
1,2009,5/2/2009,92,1,Silversun Pickups,-,6qyi8X6MdP1lu6B1K6yh3h,54,566776,"['alternative rock', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'rock']",Panic Switch,597i9UhHbW8hHgBUp8Tm54,56,Swoon,4/14/2009,2009,343906,0.163,0.885,5,-4.623,0,0.0725,0.000202,0.0121,0.228,0.549,198.556,3
0,-,-,-,-,Simply Red,-,1fa0cOhromAZdq2xRA4vv8,64,1897861,"['british soul', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']",Holding Back The Years,5q04ftJMH7VjaKEbNUz18u,0,Simply Red 25 The Greatest Hits,2/3/2009,2009,251586,0.696,0.514,10,-7.899,0,0.0252,0.654,4.31E-06,0.318,0.682,87.159,4
0,-,-,-,-,Sinead Harnett,-,6tUJpYN2aYiXbzAcg0pIOo,59,416745,"['alternative r&b', 'chill r&b', 'dance pop', 'gauze pop', 'indie r&b', 'indie soul', 'pop', 'pop r&b', 'r&b', 'uk contemporary r&b']",Paradise,7Bpl8pwYiI6t3vEYE8fVoi,0,N.O.W,1/1/2014,2014,260040,0.692,0.682,9,-6.619,0,0.0915,0.0892,4.61E-05,0.374,0.277,91.987,4
